,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 19:26:55,18.75,33.59375,26.171875,53,53,56,2494.343,2494.343,9.295881,6.365726,0.011886945,99.77372,51.75074,4.078808,3.80283356,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:56,17.96875,34.375,26.171875,53,53,57,2494.34229,2494.34229,9.32372,6.3836956,0.00677512726,99.77369,51.7490959,4.078678,3.80296326,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:57,16.40625,35.9375,26.171875,53,54,56,2494.34229,2494.34229,9.216531,6.30808163,0.00582907535,99.77369,51.71449,4.07595062,3.80569077,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:58,17.1875,37.5,27.34375,53,53,57,2494.342,2494.342,9.43308449,6.46396065,0.0135197379,99.77368,51.7478371,4.078579,3.80306244,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:59,26.5625,26.5625,26.5625,57,50,58,2494.34033,2494.34033,9.30839348,6.381443,0.0142979044,99.77362,51.6710739,4.072529,3.80911255,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:27:00,14.0625,39.84375,26.953125,52,54,57,2494.344,2494.344,9.466935,6.49442244,0.0164037552,99.77376,51.8020935,4.082855,3.79878616,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:27:01,25,29.6875,27.34375,57,51,58,2494.342,2494.342,9.386835,6.43654633,0.02063064,99.77368,51.7122154,4.07577133,3.80587,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:27:02,16.40625,38.28125,27.34375,53,55,57,2494.3418,2494.3418,9.464893,6.48908234,0.0215460435,99.773674,51.7198143,4.07637024,3.80527115,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:27:03,25.78125,27.34375,26.5625,56,52,58,2494.34277,2494.34277,9.310319,6.37633371,0.0137944212,99.7737045,51.7138138,4.075897,3.80574417,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:27:04,20.3125,32.8125,26.5625,55,52,58,2494.34229,2494.34229,9.417846,6.46880627,0.0129398713,99.7737,51.7951736,4.08230972,3.79933167,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
